	File_Name	Total_Kernels	Percent_Transmission	R-Squared	P-Value	Slope
136	X401x480A-1m1	689	57.3744557329463	0.6892621573588649	1.589e-176	-8e-05
137	X402x522-3m1	639	41.827856025039125	0.8190740176499545	1.140e-238	-0.00021
138	X400x466L-2m1	380	66.43947368421053	0.015148721351388537	1.637e-02	1e-05
139	X402x488-3m2	620	75.1	0.005864725566676558	5.667e-02	1e-05
140	X402x490-5m2	715	50.94125874125874	0.04940676618492674	1.873e-09	2e-05
141	X403x454-3m4	695	54.7568345323741	0.5170938236988759	1.209e-111	-9e-05
142	X401x474-2m2	541	45.78373382624769	0.11825742250925898	1.834e-16	5e-05
143	X402x432-2m2	500	56.596	0.13916683535162375	5.901e-18	5e-05
144	X402x422-2m2	428	33.89252336448598	0.04222120749490974	1.833e-05	-6e-05
145	X402x450-2m2	569	57.344463971880494	0.11474064435998889	9.636e-17	-3e-05
146	X429-2x402	193	39.60621761658031	0.008752989489820586	1.956e-01	-1e-05
147	X401x520-1m1	543	51.141804788213626	0.5057332067350114	7.924e-85	-9e-05
148	X400x457-1m1	552	50.02536231884058	0.6047621351883345	5.975e-113	-0.00012
149	X401x478A-5m1	632	36.55696202531646	0.042442725350078696	1.741e-07	-3e-05
150	X400x554A-2m1	289	1.9377162629757785	0.4385194755321493	7.573e-38	4e-05
151	X417-3x402	437	45.48970251716247	0.5144410417737166	3.044e-70	0.00012
152	X402x415-4m3	608	38.60361842105263	0.06340656081608767	3.016e-10	4e-05
153	X432-5x402	256	29.08984375	0.16425513189917929	1.536e-11	6e-05
154	X401x489-5m1	625	77.2704	0.4491781101345772	1.006e-82	8e-05
155	X402x474-4m4	511	42.28767123287671	0.2631297818142679	1.222e-35	-5e-05
156	X401x492-2m1	619	15.014539579967689	0.5557896825338648	8.217e-111	0.00023
157	X402x458-1m1	693	57.43434343434343	0.22243747262451838	1.136e-39	6e-05
158	X459-2x402	409	60.229828850855746	0.3476000838883118	1.197e-39	-8e-05
159	X401x468A-1m1	353	56.036827195467424	0.017763223216561527	1.220e-02	-1e-05
160	X423-2x402	238	43.294117647058826	0.8384481299136215	2.157e-95	0.00039
161	X402x528-5m3	591	53.82571912013536	0.547616534277008	1.562e-103	9e-05
162	X402x466-5m1	556	60.8794964028777	0.7829613777604761	6.363e-186	-0.00013
163	X571A-2x400	654	59.44648318042813	0.09898504647300059	1.713e-16	3e-05
164	X555A-1x400	460	62.834782608695654	0.6844714604003811	8.571e-117	0.00012
165	X437-2x402	543	53.537753222836095	0.1295507673547347	4.724e-18	-4e-05
166	X402x483A-1m1	565	58.51681415929203	0.7521628541354253	1.112e-172	-0.00011
167	X402x429-2m3	640	47.4546875	0.3331069808985642	4.080e-58	-5e-05
168	X401x459-2m1	482	71.25726141078839	0.007491816361801599	5.758e-02	1e-05
169	X402x456L-3m1	569	38.37609841827768	0.6082421440469584	1.790e-117	-0.00015
170	X401x514-1m1	697	67.59397417503587	0.006497296821701807	3.336e-02	1e-05
171	X403x435-1m1	448	50.564732142857146	0.7394356799881464	2.462e-132	0.00018
172	X402x443B-1m1	508	5.269685039370079	0.0	1.000e+00	0.0
173	X403x445-4m1	633	61.67614533965245	0.6826537570976358	2.080e-159	-9e-05
174	X401x462A-3m1	503	66.63817097415507	0.12045039392060815	1.103e-15	-8e-05
175	X403x526-3m1	705	57.645390070921984	0.0036661071424323962	1.082e-01	1e-05
176	X401x488-1m1	556	70.1726618705036	0.3614205026693927	6.225e-56	-9e-05
177	X402x429-2m2	669	64.46487294469357	0.006822790412993668	3.267e-02	-1e-05
178	X401x421-1m1	374	38.48930481283423	0.35032927716359175	1.007e-36	0.00013
179	X552AL-3x402	565	69.00353982300885	0.5978666175818816	1.853e-113	6e-05
